# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.012255      	(-1.461314e-05 -1.264107e-05 -2.253585e-08)	(-1.314697e-05 7.554899e-06 7.643847e-09)	(-1.466174e-06 -2.019597e-05 -3.017970e-08)
0.02451       	(-4.205565e-06 -4.728416e-05 -6.830185e-10)	(-8.878200e-06 -3.053568e-05 1.197556e-09)	(4.672635e-06 -1.674848e-05 -1.880574e-09)
0.036765      	(1.269802e-05 -1.253268e-05 5.461296e-09)	(7.415682e-06 -5.452865e-06 -7.558886e-11)	(5.282343e-06 -7.079817e-06 5.536884e-09)
0.04902       	(6.746877e-06 -1.285274e-05 7.233237e-09)	(2.238243e-06 -7.899457e-06 3.642426e-10)	(4.508634e-06 -4.953284e-06 6.868994e-09)
0.061275      	(8.244639e-06 -9.239231e-06 7.256694e-09)	(4.104942e-06 -5.135445e-06 4.279919e-10)	(4.139697e-06 -4.103786e-06 6.828702e-09)
0.07353       	(7.042170e-06 -7.801060e-06 6.782395e-09)	(3.227463e-06 -4.305288e-06 4.390090e-10)	(3.814707e-06 -3.495771e-06 6.343386e-09)
0.085785      	(7.569225e-06 -7.177758e-06 6.569590e-09)	(3.977093e-06 -4.099342e-06 4.134934e-10)	(3.592132e-06 -3.078417e-06 6.156097e-09)
0.09804       	(7.566599e-06 -6.769955e-06 5.976312e-09)	(4.276118e-06 -4.086121e-06 3.935812e-10)	(3.290481e-06 -2.683834e-06 5.582731e-09)
0.110295      	(7.135968e-06 -6.211330e-06 5.484997e-09)	(4.130346e-06 -3.835913e-06 3.722017e-10)	(3.005622e-06 -2.375417e-06 5.112795e-09)
0.12255       	(6.628888e-06 -5.708124e-06 4.923792e-09)	(3.871883e-06 -3.577664e-06 3.537797e-10)	(2.757005e-06 -2.130459e-06 4.570012e-09)
0.134805      	(6.127159e-06 -5.317484e-06 4.416934e-09)	(3.587596e-06 -3.377430e-06 3.362806e-10)	(2.539564e-06 -1.940054e-06 4.080654e-09)
0.14706       	(5.684476e-06 -5.028154e-06 3.973416e-09)	(3.331229e-06 -3.238207e-06 3.201664e-10)	(2.353247e-06 -1.789947e-06 3.653250e-09)
0.159315      	(5.225110e-06 -4.748738e-06 3.545086e-09)	(3.032566e-06 -3.080621e-06 3.053471e-10)	(2.192544e-06 -1.668117e-06 3.239739e-09)
0.17157       	(4.530088e-06 -4.230164e-06 3.190476e-09)	(2.474804e-06 -2.663226e-06 2.916662e-10)	(2.055284e-06 -1.566939e-06 2.898810e-09)
0.183825      	(4.232712e-06 -4.120567e-06 2.857026e-09)	(2.295709e-06 -2.638859e-06 2.790078e-10)	(1.937003e-06 -1.481707e-06 2.578019e-09)
0.19608       	(4.026483e-06 -4.054098e-06 2.530316e-09)	(2.194680e-06 -2.644544e-06 2.674195e-10)	(1.831803e-06 -1.409554e-06 2.262897e-09)
0.208335      	(3.793342e-06 -3.956201e-06 2.273113e-09)	(2.054624e-06 -2.612787e-06 2.550010e-10)	(1.738719e-06 -1.343414e-06 2.018112e-09)
0.22059       	(3.572842e-06 -3.891650e-06 2.008573e-09)	(1.916520e-06 -2.604564e-06 2.447153e-10)	(1.656322e-06 -1.287086e-06 1.763857e-09)
0.232845      	(3.338452e-06 -3.787207e-06 1.765015e-09)	(1.753036e-06 -2.546387e-06 2.362420e-10)	(1.585416e-06 -1.240820e-06 1.528773e-09)
0.2451        	(3.173068e-06 -3.741194e-06 1.555533e-09)	(1.666141e-06 -2.550990e-06 2.283429e-10)	(1.506928e-06 -1.190204e-06 1.327190e-09)
0.257355      	(2.998602e-06 -3.692115e-06 1.373506e-09)	(1.562140e-06 -2.549972e-06 2.209087e-10)	(1.436463e-06 -1.142143e-06 1.152597e-09)
0.26961       	(2.810022e-06 -3.599643e-06 1.212828e-09)	(1.435096e-06 -2.496854e-06 2.146183e-10)	(1.374926e-06 -1.102790e-06 9.982092e-10)
0.281865      	(2.672855e-06 -3.562933e-06 1.037220e-09)	(1.354890e-06 -2.493922e-06 2.079975e-10)	(1.317964e-06 -1.069010e-06 8.292222e-10)
0.29412       	(2.589071e-06 -3.535861e-06 9.190334e-10)	(1.321138e-06 -2.496815e-06 2.027776e-10)	(1.267934e-06 -1.039045e-06 7.162558e-10)
0.306375      	(2.472175e-06 -3.494029e-06 8.110731e-10)	(1.250158e-06 -2.483715e-06 1.969420e-10)	(1.222017e-06 -1.010314e-06 6.141310e-10)
0.31863       	(2.354908e-06 -3.455536e-06 6.796049e-10)	(1.176095e-06 -2.471418e-06 1.920531e-10)	(1.178813e-06 -9.841183e-07 4.875519e-10)
0.330885      	(2.269257e-06 -3.436592e-06 5.640968e-10)	(1.129747e-06 -2.476182e-06 1.873714e-10)	(1.139511e-06 -9.604095e-07 3.767254e-10)
0.34314       	(2.226240e-06 -3.413441e-06 4.825257e-10)	(1.121700e-06 -2.474735e-06 1.826484e-10)	(1.104540e-06 -9.387055e-07 2.998772e-10)
0.355395      	(2.079282e-06 -3.377618e-06 4.117883e-10)	(1.007005e-06 -2.459505e-06 1.792376e-10)	(1.072277e-06 -9.181131e-07 2.325507e-10)
0.36765       	(2.070045e-06 -3.373566e-06 3.286601e-10)	(1.034786e-06 -2.479018e-06 1.772391e-10)	(1.035259e-06 -8.945482e-07 1.514211e-10)
0.379905      	(1.990583e-06 -3.345222e-06 2.570038e-10)	(9.918969e-07 -2.475011e-06 1.770296e-10)	(9.986857e-07 -8.702106e-07 7.997416e-11)
0.39216       	(1.988229e-06 -3.350539e-06 1.975829e-10)	(1.021943e-06 -2.493565e-06 1.722239e-10)	(9.662859e-07 -8.569739e-07 2.535899e-11)
0.404415      	(1.846290e-06 -3.304407e-06 1.631533e-10)	(9.073026e-07 -2.462193e-06 1.698166e-10)	(9.389877e-07 -8.422134e-07 -6.663339e-12)
0.41667       	(1.833225e-06 -3.315252e-06 1.120374e-10)	(9.211057e-07 -2.487449e-06 1.676219e-10)	(9.121192e-07 -8.278027e-07 -5.558448e-11)
0.428925      	(1.823990e-06 -3.284761e-06 5.751248e-11)	(9.395922e-07 -2.469762e-06 1.658227e-10)	(8.843981e-07 -8.149985e-07 -1.083102e-10)
0.44118       	(1.760881e-06 -3.290997e-06 2.006666e-11)	(8.978422e-07 -2.489723e-06 1.641762e-10)	(8.630383e-07 -8.012740e-07 -1.441096e-10)
0.453435      	(1.719362e-06 -3.248464e-06 -1.449584e-11)	(8.782863e-07 -2.460029e-06 1.610768e-10)	(8.410760e-07 -7.884356e-07 -1.755726e-10)
0.46569       	(1.647998e-06 -3.234603e-06 -2.659891e-11)	(8.274263e-07 -2.457385e-06 1.586342e-10)	(8.205720e-07 -7.772179e-07 -1.852331e-10)
0.477945      	(1.687793e-06 -3.241645e-06 -5.011083e-11)	(8.864829e-07 -2.476173e-06 1.576779e-10)	(8.013103e-07 -7.654728e-07 -2.077887e-10)
0.4902        	(1.647287e-06 -3.268732e-06 -9.296991e-11)	(8.673072e-07 -2.515343e-06 1.576697e-10)	(7.799793e-07 -7.533889e-07 -2.506396e-10)
0.502455      	(1.624298e-06 -3.253395e-06 -1.277573e-10)	(8.649523e-07 -2.511816e-06 1.563449e-10)	(7.593460e-07 -7.415785e-07 -2.841022e-10)
0.51471       	(1.559188e-06 -3.252589e-06 -1.530889e-10)	(8.201542e-07 -2.521923e-06 1.580084e-10)	(7.390333e-07 -7.306664e-07 -3.110973e-10)
0.526965      	(1.582253e-06 -3.229079e-06 -1.481664e-10)	(8.632103e-07 -2.507026e-06 1.548254e-10)	(7.190430e-07 -7.220534e-07 -3.029918e-10)
0.53922       	(1.524159e-06 -3.229548e-06 -1.550333e-10)	(8.243105e-07 -2.516350e-06 1.520497e-10)	(6.998485e-07 -7.131984e-07 -3.070830e-10)
0.551475      	(1.531903e-06 -3.226242e-06 -1.734375e-10)	(8.496498e-07 -2.520970e-06 1.491421e-10)	(6.822533e-07 -7.052727e-07 -3.225796e-10)
0.56373       	(1.536895e-06 -3.203499e-06 -1.914298e-10)	(8.712660e-07 -2.506677e-06 1.487589e-10)	(6.656288e-07 -6.968222e-07 -3.401887e-10)
0.575985      	(1.473032e-06 -3.157834e-06 -1.990073e-10)	(8.249580e-07 -2.472390e-06 1.539028e-10)	(6.480738e-07 -6.854447e-07 -3.529101e-10)
0.58824       	(1.487544e-06 -3.180585e-06 -2.131377e-10)	(8.551451e-07 -2.503569e-06 1.524959e-10)	(6.323987e-07 -6.770165e-07 -3.656337e-10)
0.600495      	(1.413605e-06 -3.152971e-06 -2.172327e-10)	(7.970543e-07 -2.485407e-06 1.521936e-10)	(6.165506e-07 -6.675641e-07 -3.694263e-10)
0.61275       	(1.448565e-06 -3.137208e-06 -2.196232e-10)	(8.466902e-07 -2.478928e-06 1.515716e-10)	(6.018748e-07 -6.582804e-07 -3.711948e-10)
0.625005      	(1.414042e-06 -3.115838e-06 -2.225343e-10)	(8.269525e-07 -2.467682e-06 1.522508e-10)	(5.870896e-07 -6.481565e-07 -3.747851e-10)
0.63726       	(1.425105e-06 -3.099804e-06 -2.268105e-10)	(8.517851e-07 -2.460752e-06 1.551206e-10)	(5.733203e-07 -6.390516e-07 -3.819311e-10)
0.649515      	(1.390601e-06 -3.082900e-06 -2.358160e-10)	(8.310132e-07 -2.453067e-06 1.537197e-10)	(5.595876e-07 -6.298334e-07 -3.895357e-10)
0.66177       	(1.400769e-06 -3.081169e-06 -2.443311e-10)	(8.546264e-07 -2.459483e-06 1.518578e-10)	(5.461429e-07 -6.216865e-07 -3.961889e-10)
0.674025      	(1.341983e-06 -3.055318e-06 -2.471249e-10)	(8.091179e-07 -2.441976e-06 1.508631e-10)	(5.328650e-07 -6.133418e-07 -3.979880e-10)
0.68628       	(1.369407e-06 -3.034832e-06 -2.467125e-10)	(8.486966e-07 -2.429390e-06 1.501601e-10)	(5.207103e-07 -6.054416e-07 -3.968727e-10)
0.698535      	(1.357857e-06 -3.034806e-06 -2.447747e-10)	(8.490414e-07 -2.436525e-06 1.494241e-10)	(5.088154e-07 -5.982812e-07 -3.941987e-10)
0.71079       	(1.329022e-06 -3.010215e-06 -2.424011e-10)	(8.319165e-07 -2.419385e-06 1.488083e-10)	(4.971054e-07 -5.908298e-07 -3.912093e-10)
0.723045      	(1.316809e-06 -3.008202e-06 -2.414620e-10)	(8.308309e-07 -2.424315e-06 1.482212e-10)	(4.859782e-07 -5.838868e-07 -3.896832e-10)
0.7353        	(1.321025e-06 -2.991150e-06 -2.400127e-10)	(8.455248e-07 -2.414287e-06 1.476864e-10)	(4.755004e-07 -5.768627e-07 -3.876991e-10)
0.747555      	(1.328493e-06 -2.976951e-06 -2.398684e-10)	(8.631529e-07 -2.406749e-06 1.471159e-10)	(4.653403e-07 -5.702018e-07 -3.869842e-10)
0.75981       	(1.318957e-06 -2.957163e-06 -2.430601e-10)	(8.633992e-07 -2.393464e-06 1.465064e-10)	(4.555580e-07 -5.636986e-07 -3.895665e-10)
0.772065      	(1.317475e-06 -2.957429e-06 -2.319246e-10)	(8.716948e-07 -2.400142e-06 1.460728e-10)	(4.457804e-07 -5.572871e-07 -3.779974e-10)
0.78432       	(1.309995e-06 -2.934173e-06 -2.262544e-10)	(8.742114e-07 -2.383141e-06 1.456960e-10)	(4.357839e-07 -5.510326e-07 -3.719504e-10)
0.796575      	(1.352939e-06 -2.912888e-06 -2.375677e-10)	(9.263530e-07 -2.368147e-06 1.451645e-10)	(4.265861e-07 -5.447410e-07 -3.827322e-10)
0.80883       	(1.311450e-06 -2.905534e-06 -2.385245e-10)	(8.942918e-07 -2.366859e-06 1.445846e-10)	(4.171586e-07 -5.386747e-07 -3.831091e-10)
0.821085      	(1.310647e-06 -2.895003e-06 -2.276046e-10)	(9.025374e-07 -2.362166e-06 1.439237e-10)	(4.081096e-07 -5.328375e-07 -3.715283e-10)
0.83334       	(1.289463e-06 -2.878576e-06 -2.222807e-10)	(8.902277e-07 -2.351642e-06 1.430217e-10)	(3.992351e-07 -5.269345e-07 -3.653024e-10)
0.845595      	(1.305550e-06 -2.866068e-06 -2.203886e-10)	(9.149236e-07 -2.344981e-06 1.430976e-10)	(3.906260e-07 -5.210868e-07 -3.634862e-10)
0.85785       	(1.343779e-06 -2.853112e-06 -2.179395e-10)	(9.604236e-07 -2.337406e-06 1.434765e-10)	(3.833551e-07 -5.157061e-07 -3.614159e-10)
0.870105      	(1.269824e-06 -2.826551e-06 -2.167926e-10)	(8.959437e-07 -2.317586e-06 1.429826e-10)	(3.738799e-07 -5.089649e-07 -3.597751e-10)
0.88236       	(1.292195e-06 -2.821286e-06 -2.147563e-10)	(9.257066e-07 -2.317678e-06 1.420097e-10)	(3.664886e-07 -5.036073e-07 -3.567660e-10)
0.894615      	(1.292147e-06 -2.806414e-06 -2.100342e-10)	(9.328757e-07 -2.308029e-06 1.414882e-10)	(3.592712e-07 -4.983848e-07 -3.515225e-10)
0.90687       	(1.326432e-06 -2.791458e-06 -2.042176e-10)	(9.741139e-07 -2.298637e-06 1.409772e-10)	(3.523185e-07 -4.928208e-07 -3.451949e-10)
0.919125      	(1.290742e-06 -2.777285e-06 -2.004332e-10)	(9.454916e-07 -2.289786e-06 1.403874e-10)	(3.452501e-07 -4.874993e-07 -3.408206e-10)
0.93138       	(1.311372e-06 -2.762529e-06 -1.961568e-10)	(9.730530e-07 -2.280149e-06 1.399158e-10)	(3.383194e-07 -4.823800e-07 -3.360726e-10)
0.943635      	(1.301316e-06 -2.754465e-06 -1.900683e-10)	(9.697180e-07 -2.277136e-06 1.394570e-10)	(3.315980e-07 -4.773294e-07 -3.295253e-10)
0.95589       	(1.319528e-06 -2.740236e-06 -1.843849e-10)	(9.944464e-07 -2.267890e-06 1.388946e-10)	(3.250819e-07 -4.723452e-07 -3.232795e-10)
