# Force       
# CofR        : 0.000000e+00 0.000000e+00 0.000000e+00
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.0075        	9.617920e-05 8.331565e-05 6.311357e+01	8.323881e-05 4.605886e-05 6.282414e+01	1.294039e-05 3.725679e-05 2.894253e-01
0.015         	-1.117113e-04 -3.251248e-04 -7.838006e+00	-1.220904e-04 -3.548857e-04 -8.053164e+00	1.037903e-05 2.976084e-05 2.151584e-01
0.0225        	2.193782e-05 7.334614e-05 -2.282022e+00	7.377541e-06 4.653123e-05 -2.384736e+00	1.456027e-05 2.681491e-05 1.027134e-01
0.03          	-3.019929e-05 -7.407877e-05 5.401744e-03	-4.499822e-05 -9.878752e-05 -7.044084e-02	1.479893e-05 2.470875e-05 7.584258e-02
0.0375        	2.043675e-05 6.062236e-05 5.704113e-01	7.815949e-06 3.650645e-05 5.088930e-01	1.262081e-05 2.411591e-05 6.151833e-02
0.045         	-1.181796e-05 -2.146088e-05 6.373425e-01	-2.255900e-05 -4.345436e-05 5.858685e-01	1.074105e-05 2.199348e-05 5.147399e-02
0.0525        	-1.869077e-06 5.173248e-07 6.451629e-01	-1.153787e-05 -1.940015e-05 6.018312e-01	9.668797e-06 1.991747e-05 4.333175e-02
0.06          	-4.957104e-06 -6.478490e-06 6.325964e-01	-1.435346e-05 -2.545084e-05 5.959090e-01	9.396352e-06 1.897235e-05 3.668741e-02
0.0675        	-6.416365e-07 9.530862e-07 6.163097e-01	-9.979771e-06 -1.741197e-05 5.850858e-01	9.338135e-06 1.836506e-05 3.122398e-02
0.075         	-2.240548e-06 -4.124814e-06 5.996647e-01	-1.169398e-05 -2.189794e-05 5.729415e-01	9.453434e-06 1.777312e-05 2.672315e-02
0.0825        	-7.972136e-07 -3.361950e-06 5.842712e-01	-1.047707e-05 -2.059106e-05 5.612616e-01	9.679853e-06 1.722911e-05 2.300958e-02
0.09          	-8.620706e-07 -4.823116e-06 5.719603e-01	-1.078955e-05 -2.156608e-05 5.520290e-01	9.927478e-06 1.674296e-05 1.993128e-02
0.0975        	-5.289655e-07 -5.592054e-06 5.618213e-01	-1.070343e-05 -2.190098e-05 5.444575e-01	1.017447e-05 1.630892e-05 1.736381e-02
0.105         	-2.682934e-07 -6.129575e-06 5.536673e-01	-1.066887e-05 -2.204163e-05 5.384634e-01	1.040058e-05 1.591206e-05 1.520392e-02
0.1125        	-7.128117e-08 -6.630944e-06 5.476620e-01	-1.062959e-05 -2.215856e-05 5.342938e-01	1.055831e-05 1.552761e-05 1.336822e-02
0.12          	5.313932e-08 -6.943146e-06 5.438382e-01	-1.060359e-05 -2.210967e-05 5.320527e-01	1.065673e-05 1.516652e-05 1.178550e-02
0.1275        	2.829003e-07 -7.271885e-06 5.407556e-01	-1.042905e-05 -2.208163e-05 5.303531e-01	1.071195e-05 1.480974e-05 1.040256e-02
0.135         	2.782066e-07 -7.206912e-06 5.385617e-01	-1.046617e-05 -2.169134e-05 5.293805e-01	1.074438e-05 1.448443e-05 9.181237e-03
0.1425        	1.842150e-07 -7.414413e-06 5.374358e-01	-1.056742e-05 -2.159636e-05 5.293437e-01	1.075164e-05 1.418195e-05 8.092084e-03
0.15          	2.881423e-07 -7.031263e-06 5.374611e-01	-1.042929e-05 -2.091423e-05 5.303505e-01	1.071743e-05 1.388297e-05 7.110605e-03
0.1575        	2.812592e-07 -6.976333e-06 5.374101e-01	-1.036540e-05 -2.056273e-05 5.311894e-01	1.064666e-05 1.358640e-05 6.220706e-03
0.165         	2.778538e-07 -6.540895e-06 5.379411e-01	-1.027879e-05 -1.984023e-05 5.325272e-01	1.055665e-05 1.329933e-05 5.413905e-03
0.1725        	1.147842e-08 -6.483704e-06 5.386277e-01	-1.043753e-05 -1.950933e-05 5.339556e-01	1.044900e-05 1.302563e-05 4.672134e-03
0.18          	8.502463e-08 -6.458453e-06 5.403965e-01	-1.024945e-05 -1.921758e-05 5.364084e-01	1.033447e-05 1.275913e-05 3.988132e-03
0.1875        	-1.611034e-07 -6.252560e-06 5.419747e-01	-1.037119e-05 -1.876085e-05 5.386153e-01	1.021009e-05 1.250829e-05 3.359421e-03
0.195         	-4.084474e-07 -5.921628e-06 5.435019e-01	-1.048444e-05 -1.819811e-05 5.407207e-01	1.007599e-05 1.227648e-05 2.781258e-03
0.2025        	-5.227175e-07 -5.995034e-06 5.452580e-01	-1.043598e-05 -1.807631e-05 5.430078e-01	9.913267e-06 1.208128e-05 2.250132e-03
