# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0075        	(-4.097707e-05 4.697811e-05 -3.534685e-08)	(-3.287019e-05 6.323442e-05 1.203975e-08)	(-8.106879e-06 -1.625631e-05 -4.738660e-08)
0.015         	(-3.023693e-05 -6.513359e-05 -2.877395e-08)	(-2.535413e-05 -4.151363e-05 1.998279e-09)	(-4.882802e-06 -2.361996e-05 -3.077223e-08)
0.0225        	(-7.017416e-06 -3.562624e-05 -1.027760e-08)	(-9.067210e-06 -1.512296e-05 -3.307291e-10)	(2.049795e-06 -2.050328e-05 -9.946868e-09)
0.03          	(-7.119114e-06 -2.909385e-05 -1.497278e-09)	(-1.177674e-05 -1.317094e-05 3.355776e-10)	(4.657622e-06 -1.592291e-05 -1.832856e-09)
0.0375        	(-3.138830e-06 -2.144261e-05 2.709349e-09)	(-8.146455e-06 -8.201332e-06 5.259953e-10)	(5.007625e-06 -1.324127e-05 2.183353e-09)
0.045         	(-2.995605e-06 -1.789200e-05 3.434312e-09)	(-8.023470e-06 -6.266658e-06 5.650726e-10)	(5.027865e-06 -1.162535e-05 2.869239e-09)
0.0525        	(-1.972446e-06 -1.569824e-05 4.104880e-09)	(-6.934732e-06 -5.184254e-06 5.556926e-10)	(4.962286e-06 -1.051399e-05 3.549187e-09)
0.06          	(-1.785338e-06 -1.416831e-05 5.383859e-09)	(-6.667505e-06 -4.497158e-06 5.405000e-10)	(4.882167e-06 -9.671151e-06 4.843359e-09)
0.0675        	(-1.232461e-06 -1.284272e-05 5.904892e-09)	(-6.027350e-06 -3.853955e-06 5.251751e-10)	(4.794889e-06 -8.988764e-06 5.379717e-09)
0.075         	(-6.460568e-07 -1.159692e-05 6.546885e-09)	(-5.366636e-06 -3.171869e-06 5.053774e-10)	(4.720579e-06 -8.425053e-06 6.041508e-09)
0.0825        	(-1.087317e-07 -1.085713e-05 7.359877e-09)	(-4.747963e-06 -2.910941e-06 4.850552e-10)	(4.639231e-06 -7.946194e-06 6.874822e-09)
0.09          	(5.621209e-07 -1.037000e-05 8.081587e-09)	(-3.980813e-06 -2.841749e-06 4.651930e-10)	(4.542934e-06 -7.528250e-06 7.616394e-09)
0.0975        	(9.783172e-07 -9.704674e-06 7.908017e-09)	(-3.454607e-06 -2.543834e-06 4.446961e-10)	(4.432925e-06 -7.160841e-06 7.463321e-09)
0.105         	(1.487555e-06 -9.422261e-06 8.190026e-09)	(-2.818882e-06 -2.586262e-06 4.263806e-10)	(4.306437e-06 -6.835999e-06 7.763646e-09)
0.1125        	(1.703373e-06 -9.048367e-06 8.246380e-09)	(-2.462894e-06 -2.501843e-06 4.080361e-10)	(4.166266e-06 -6.546524e-06 7.838344e-09)
0.12          	(1.737671e-06 -8.837248e-06 8.301218e-09)	(-2.275164e-06 -2.554327e-06 3.916771e-10)	(4.012835e-06 -6.282921e-06 7.909541e-09)
0.1275        	(1.522318e-06 -8.563983e-06 8.348686e-09)	(-2.337494e-06 -2.514662e-06 3.758763e-10)	(3.859812e-06 -6.049321e-06 7.972809e-09)
0.135         	(1.310025e-06 -8.391393e-06 8.280701e-09)	(-2.397748e-06 -2.555521e-06 3.604158e-10)	(3.707773e-06 -5.835872e-06 7.920285e-09)
0.1425        	(1.207674e-06 -8.267969e-06 8.145084e-09)	(-2.346220e-06 -2.632220e-06 3.457838e-10)	(3.553894e-06 -5.635749e-06 7.799300e-09)
0.15          	(6.711651e-07 -8.144717e-06 7.817161e-09)	(-2.738055e-06 -2.686350e-06 3.322294e-10)	(3.409221e-06 -5.458367e-06 7.484931e-09)
0.1575        	(4.627556e-07 -8.079551e-06 7.499860e-09)	(-2.813278e-06 -2.767919e-06 3.179346e-10)	(3.276034e-06 -5.311632e-06 7.181925e-09)
0.165         	(-1.829634e-07 -8.032695e-06 7.311538e-09)	(-3.340371e-06 -2.852796e-06 3.040201e-10)	(3.157407e-06 -5.179899e-06 7.007518e-09)
0.1725        	(-4.937116e-07 -7.996329e-06 7.180337e-09)	(-3.534647e-06 -2.942412e-06 2.918195e-10)	(3.040935e-06 -5.053917e-06 6.888517e-09)
0.18          	(-8.037512e-07 -7.908430e-06 7.070292e-09)	(-3.728851e-06 -2.970703e-06 2.776747e-10)	(2.925099e-06 -4.937727e-06 6.792617e-09)
0.1875        	(-1.166886e-06 -8.030959e-06 6.784215e-09)	(-3.982736e-06 -3.198978e-06 2.636827e-10)	(2.815851e-06 -4.831982e-06 6.520533e-09)
0.195         	(-1.774373e-06 -7.961884e-06 6.431734e-09)	(-4.487443e-06 -3.225472e-06 2.444307e-10)	(2.713071e-06 -4.736412e-06 6.187304e-09)
0.2025        	(-2.047667e-06 -7.992332e-06 6.187684e-09)	(-4.666460e-06 -3.338054e-06 2.546567e-10)	(2.618793e-06 -4.654278e-06 5.933028e-09)
0.21          	(-1.905561e-06 -7.759494e-06 5.995945e-09)	(-4.443008e-06 -3.195794e-06 2.252106e-10)	(2.537447e-06 -4.563699e-06 5.770734e-09)
0.2175        	(-3.131437e-06 -8.161699e-06 5.730005e-09)	(-5.573010e-06 -3.675010e-06 2.182855e-10)	(2.441573e-06 -4.486689e-06 5.511719e-09)
0.225         	(-2.973581e-06 -8.035883e-06 5.467008e-09)	(-5.307221e-06 -3.610528e-06 2.031194e-10)	(2.333640e-06 -4.425355e-06 5.263889e-09)
0.2325        	(-3.367073e-06 -8.132628e-06 5.174067e-09)	(-5.624153e-06 -3.773577e-06 1.857062e-10)	(2.257080e-06 -4.359052e-06 4.988361e-09)
0.24          	(-3.986920e-06 -8.034225e-06 4.856614e-09)	(-6.147294e-06 -3.758643e-06 1.802955e-10)	(2.160374e-06 -4.275581e-06 4.676319e-09)
0.2475        	(-4.009471e-06 -8.160855e-06 4.488452e-09)	(-6.084263e-06 -3.956182e-06 1.566172e-10)	(2.074792e-06 -4.204673e-06 4.331835e-09)
0.255         	(-4.360775e-06 -8.045047e-06 4.184410e-09)	(-6.349732e-06 -3.910982e-06 1.471929e-10)	(1.988956e-06 -4.134065e-06 4.037217e-09)
0.2625        	(-4.614443e-06 -8.263115e-06 3.945650e-09)	(-6.503905e-06 -4.202052e-06 1.370782e-10)	(1.889461e-06 -4.061063e-06 3.808571e-09)
0.27          	(-5.232294e-06 -7.985149e-06 3.612548e-09)	(-7.020158e-06 -3.991892e-06 1.338008e-10)	(1.787864e-06 -3.993256e-06 3.478747e-09)
0.2775        	(-5.504378e-06 -8.177110e-06 3.290483e-09)	(-7.193916e-06 -4.246770e-06 1.278593e-10)	(1.689538e-06 -3.930340e-06 3.162624e-09)
0.285         	(-5.756057e-06 -8.263452e-06 2.999289e-09)	(-7.349948e-06 -4.396320e-06 1.142842e-10)	(1.593891e-06 -3.867132e-06 2.885004e-09)
0.2925        	(-5.936959e-06 -8.190844e-06 2.687840e-09)	(-7.430499e-06 -4.399774e-06 1.051616e-10)	(1.493541e-06 -3.791070e-06 2.582679e-09)
0.3           	(-6.334912e-06 -8.237675e-06 2.383666e-09)	(-7.717882e-06 -4.532463e-06 9.727217e-11)	(1.382969e-06 -3.705213e-06 2.286394e-09)
0.3075        	(-6.523593e-06 -8.187198e-06 2.177439e-09)	(-7.790679e-06 -4.570138e-06 8.975321e-11)	(1.267086e-06 -3.617059e-06 2.087686e-09)
0.315         	(-6.874017e-06 -8.189765e-06 1.903206e-09)	(-8.027911e-06 -4.657788e-06 8.347726e-11)	(1.153894e-06 -3.531976e-06 1.819729e-09)
0.3225        	(-7.147617e-06 -8.122935e-06 1.617545e-09)	(-8.195251e-06 -4.671721e-06 7.534291e-11)	(1.047634e-06 -3.451214e-06 1.542202e-09)
0.33          	(-7.345705e-06 -8.150954e-06 1.368203e-09)	(-8.295477e-06 -4.774047e-06 6.784046e-11)	(9.497718e-07 -3.376907e-06 1.300363e-09)
0.3375        	(-7.695400e-06 -8.022745e-06 1.066942e-09)	(-8.551957e-06 -4.713905e-06 6.277140e-11)	(8.565568e-07 -3.308841e-06 1.004170e-09)
0.345         	(-7.777942e-06 -7.896522e-06 8.136930e-10)	(-8.550143e-06 -4.651172e-06 5.502841e-11)	(7.722008e-07 -3.245350e-06 7.586646e-10)
0.3525        	(-7.947936e-06 -7.970141e-06 6.093814e-10)	(-8.642966e-06 -4.780571e-06 5.113745e-11)	(6.950295e-07 -3.189570e-06 5.582439e-10)
0.36          	(-8.264855e-06 -7.766541e-06 4.431144e-10)	(-8.889550e-06 -4.628457e-06 4.508507e-11)	(6.246953e-07 -3.138084e-06 3.980293e-10)
0.3675        	(-8.401751e-06 -7.771345e-06 2.414715e-10)	(-8.962734e-06 -4.680587e-06 3.877961e-11)	(5.609825e-07 -3.090758e-06 2.026919e-10)
0.375         	(-8.627414e-06 -7.655222e-06 -6.756449e-12)	(-9.126548e-06 -4.608604e-06 3.438650e-11)	(4.991339e-07 -3.046618e-06 -4.114295e-11)
0.3825        	(-8.769758e-06 -7.668869e-06 -2.091429e-10)	(-9.211333e-06 -4.664250e-06 2.883600e-11)	(4.415751e-07 -3.004619e-06 -2.379789e-10)
0.39          	(-8.867668e-06 -7.471280e-06 -3.622557e-10)	(-9.256839e-06 -4.507586e-06 2.392464e-11)	(3.891709e-07 -2.963694e-06 -3.861803e-10)
0.3975        	(-8.965007e-06 -7.325837e-06 -5.151046e-10)	(-9.303872e-06 -4.401204e-06 1.988582e-11)	(3.388649e-07 -2.924633e-06 -5.349904e-10)
