# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.00375       	(-5.134688e-05 1.419971e-04 -3.161896e-08)	(-4.244446e-05 1.512075e-04 2.211755e-08)	(-8.902424e-06 -9.210354e-06 -5.373651e-08)
0.0075        	(-2.944833e-05 -5.110183e-05 -5.749580e-08)	(-1.806208e-05 -3.456159e-05 3.553230e-09)	(-1.138625e-05 -1.654024e-05 -6.104903e-08)
0.01125       	(-3.611009e-05 -4.720670e-05 -4.864506e-08)	(-2.823188e-05 -2.655462e-05 -5.416171e-10)	(-7.878211e-06 -2.065208e-05 -4.810344e-08)
0.015         	(-3.766615e-05 -3.526163e-05 -3.139032e-08)	(-3.439674e-05 -1.389975e-05 3.105580e-10)	(-3.269413e-06 -2.136187e-05 -3.170088e-08)
0.01875       	(-2.265676e-05 -3.421256e-05 -1.768505e-08)	(-2.247884e-05 -1.326252e-05 6.748430e-10)	(-1.779171e-07 -2.095005e-05 -1.835989e-08)
0.0225        	(-1.270212e-05 -3.161489e-05 -1.009460e-08)	(-1.489860e-05 -1.117989e-05 7.009630e-10)	(2.196480e-06 -2.043500e-05 -1.079556e-08)
0.02625       	(-4.784108e-06 -3.430635e-05 -5.956754e-09)	(-8.710055e-06 -1.449676e-05 6.842467e-10)	(3.925947e-06 -1.980959e-05 -6.641000e-09)
0.03          	(-1.758585e-05 -2.107621e-05 -3.374891e-09)	(-2.236485e-05 -2.176624e-06 6.521285e-10)	(4.778993e-06 -1.889959e-05 -4.027019e-09)
0.03375       	(-9.854415e-06 -2.465670e-05 -1.198543e-09)	(-1.519235e-05 -6.636392e-06 6.649236e-10)	(5.337935e-06 -1.802031e-05 -1.863467e-09)
0.0375        	(-7.587174e-06 -2.276248e-05 -8.292262e-10)	(-1.334850e-05 -5.458610e-06 6.545191e-10)	(5.761322e-06 -1.730387e-05 -1.483745e-09)
0.04125       	(-9.851302e-06 -1.978043e-05 -7.263739e-10)	(-1.582999e-05 -3.149639e-06 6.426473e-10)	(5.978687e-06 -1.663079e-05 -1.369021e-09)
0.045         	(-8.321945e-06 -1.892294e-05 2.549991e-10)	(-1.439206e-05 -2.920371e-06 6.375228e-10)	(6.070115e-06 -1.600257e-05 -3.825237e-10)
0.04875       	(-8.666567e-06 -1.813799e-05 8.443648e-10)	(-1.477902e-05 -2.679534e-06 6.286162e-10)	(6.112454e-06 -1.545845e-05 2.157486e-10)
0.0525        	(-8.383659e-06 -1.688129e-05 1.187650e-09)	(-1.449340e-05 -1.915435e-06 6.214792e-10)	(6.109740e-06 -1.496586e-05 5.661704e-10)
0.05625       	(-7.412899e-06 -1.611309e-05 2.428030e-09)	(-1.349333e-05 -1.598507e-06 6.155900e-10)	(6.080433e-06 -1.451459e-05 1.812440e-09)
0.06          	(-7.598480e-06 -1.460266e-05 2.893405e-09)	(-1.364164e-05 -4.928853e-07 6.054665e-10)	(6.043161e-06 -1.410977e-05 2.287938e-09)
0.06375       	(-7.411313e-06 -1.456569e-05 2.755192e-09)	(-1.340978e-05 -8.245979e-07 5.870672e-10)	(5.998469e-06 -1.374109e-05 2.168125e-09)
0.0675        	(-4.488588e-06 -1.471134e-05 4.211937e-09)	(-1.032838e-05 -1.341063e-06 5.497019e-10)	(5.839796e-06 -1.337028e-05 3.662235e-09)
