# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.0075         -3.298198e-05 -5.923696e-05 2.319030e-08 -3.277094e-05 -5.876308e-05 -5.175846e-16 -2.110463e-07 -4.738845e-07 2.319030e-08
0.015          1.924362e-04 1.416449e-04 -2.109355e-07 1.424510e-04 1.469282e-04 2.719599e-14 4.998516e-05 -5.283219e-06 -2.109355e-07
0.0225         5.705261e-05 -1.197347e-04 1.011213e-07 4.727072e-05 -1.197210e-04 -5.209429e-15 9.781892e-06 -1.361005e-08 1.011213e-07
0.03           -1.318482e-04 -3.534037e-06 1.708998e-07 -1.376487e-04 -2.677449e-06 1.183767e-14 5.800453e-06 -8.565889e-07 1.708998e-07
0.0375         5.148782e-05 -3.042398e-05 -2.354217e-07 5.163781e-05 -3.008395e-05 1.047616e-14 -1.499828e-07 -3.400234e-07 -2.354217e-07
0.045          1.419454e-05 3.744459e-05 1.172147e-07 2.190403e-05 3.787734e-05 3.425266e-15 -7.709486e-06 -4.327573e-07 1.172147e-07
0.0525         -1.178627e-04 -1.011001e-04 -2.823400e-08 -1.091765e-04 -9.942617e-05 3.687487e-15 -8.686174e-06 -1.673895e-06 -2.823400e-08
0.06           3.319327e-05 2.964744e-05 1.276599e-07 3.721732e-05 2.831396e-05 3.524538e-15 -4.024043e-06 1.333479e-06 1.276599e-07
0.0675         -8.607009e-05 -7.856483e-05 -1.872593e-07 -7.789483e-05 -7.833422e-05 1.395280e-15 -8.175260e-06 -2.306114e-07 -1.872593e-07
0.075          2.695358e-05 2.170173e-05 1.179124e-07 3.243365e-05 2.044039e-05 1.440071e-15 -5.480069e-06 1.261338e-06 1.179124e-07
0.0825         -7.644417e-05 -3.150800e-05 -4.813776e-08 -6.793824e-05 -3.154481e-05 -1.509087e-15 -8.505933e-06 3.681504e-08 -4.813776e-08
0.09           2.474712e-05 2.073906e-05 1.523276e-07 3.121197e-05 1.971780e-05 1.603603e-16 -6.464844e-06 1.021266e-06 1.523276e-07
0.0975         -3.617356e-05 -1.774117e-05 4.885520e-08 -2.844750e-05 -1.805483e-05 3.050200e-16 -7.726061e-06 3.136526e-07 4.885520e-08
0.105          2.047223e-05 1.702881e-05 1.575914e-07 2.662021e-05 1.615916e-05 -3.351947e-16 -6.147980e-06 8.696508e-07 1.575914e-07
0.1125         -1.520006e-06 -1.588580e-06 9.959002e-09 5.365405e-06 -1.882274e-06 6.581446e-16 -6.885410e-06 2.936936e-07 9.959001e-09
0.12           1.522713e-05 1.404019e-05 1.716538e-07 2.148607e-05 1.377048e-05 -4.585972e-16 -6.258942e-06 2.697146e-07 1.716538e-07
0.1275         1.168315e-06 8.629454e-07 1.055519e-07 7.808850e-06 9.870190e-07 2.719992e-17 -6.640535e-06 -1.240736e-07 1.055519e-07
0.135          1.265574e-05 1.098411e-05 1.787421e-07 1.880100e-05 1.104791e-05 -6.425050e-16 -6.145268e-06 -6.379804e-08 1.787421e-07
0.1425         3.246336e-06 2.073506e-06 1.300615e-07 9.618663e-06 2.369600e-06 -2.351770e-16 -6.372326e-06 -2.960942e-07 1.300615e-07
0.15           1.476129e-05 2.289976e-06 1.722828e-07 2.076864e-05 2.573763e-06 -7.598563e-16 -6.007350e-06 -2.837867e-07 1.722828e-07
