# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.0075         -7.305171e-06 -5.478003e-06 2.340623e-09 -7.404019e-06 -5.503816e-06 -1.419119e-16 9.884815e-08 2.581248e-08 2.340623e-09
0.015          1.085331e-05 1.210740e-05 -9.269743e-09 1.142181e-05 1.210132e-05 2.102404e-16 -5.684980e-07 6.077492e-09 -9.269743e-09
0.0225         -2.501185e-05 4.831606e-05 -2.652067e-09 -2.591671e-05 4.831509e-05 6.307753e-16 9.048629e-07 9.783273e-10 -2.652067e-09
0.03           1.503547e-05 -6.194340e-06 3.435102e-08 1.186453e-05 -6.221608e-06 4.106687e-16 3.170944e-06 2.726806e-08 3.435102e-08
0.0375         1.231730e-05 -2.912381e-06 4.808134e-08 9.038707e-06 -2.903205e-06 -1.001993e-15 3.278590e-06 -9.176122e-09 4.808134e-08
0.045          9.633711e-06 -7.521435e-07 4.523856e-08 7.118410e-06 -7.099905e-07 -9.913809e-16 2.515301e-06 -4.215295e-08 4.523856e-08
0.0525         7.785863e-06 -2.813576e-07 4.245126e-08 5.790449e-06 -2.347171e-07 -8.319219e-16 1.995415e-06 -4.664054e-08 4.245126e-08
0.06           6.737361e-06 -3.884427e-07 4.003385e-08 5.057883e-06 -3.433480e-07 -7.251686e-16 1.679478e-06 -4.509466e-08 4.003385e-08
0.0675         6.075292e-06 -4.130136e-07 3.762433e-08 4.582326e-06 -3.702387e-07 -6.300434e-16 1.492966e-06 -4.277493e-08 3.762434e-08
0.075          5.198027e-06 -4.064215e-07 3.518206e-08 3.827120e-06 -3.657052e-07 -5.541493e-16 1.370907e-06 -4.071626e-08 3.518206e-08
0.0825         4.369219e-06 -5.250381e-07 3.277291e-08 3.071342e-06 -4.858498e-07 -4.914553e-16 1.297877e-06 -3.918831e-08 3.277291e-08
0.09           3.553731e-06 -5.708496e-07 3.043970e-08 2.316669e-06 -5.329284e-07 -4.346024e-16 1.237062e-06 -3.792118e-08 3.043970e-08
0.0975         3.458005e-06 -5.290940e-07 2.819045e-08 2.264032e-06 -4.922168e-07 -3.912344e-16 1.193973e-06 -3.687719e-08 2.819045e-08
0.105          3.182042e-06 -4.451261e-07 2.603013e-08 2.044878e-06 -4.090872e-07 -3.392198e-16 1.137164e-06 -3.603886e-08 2.603013e-08
0.1125         2.755245e-06 -2.780750e-07 2.402721e-08 1.678796e-06 -2.428599e-07 -3.116946e-16 1.076450e-06 -3.521509e-08 2.402721e-08
0.12           2.738058e-06 -2.869466e-07 2.221499e-08 1.713260e-06 -2.525453e-07 -2.938052e-16 1.024798e-06 -3.440131e-08 2.221499e-08
0.1275         2.109493e-06 -2.566398e-07 2.054799e-08 1.129786e-06 -2.228962e-07 -2.528902e-16 9.797073e-07 -3.374361e-08 2.054799e-08
0.135          2.208317e-06 -2.377486e-07 1.902728e-08 1.274928e-06 -2.046011e-07 -2.228442e-16 9.333891e-07 -3.314744e-08 1.902728e-08
0.1425         2.080598e-06 -1.660368e-07 1.762030e-08 1.194071e-06 -1.335375e-07 -2.016209e-16 8.865273e-07 -3.249935e-08 1.762030e-08
