# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.0075        	8.764332e-06 -1.420089e-05 5.193328e+01	9.250880e-06 -1.470094e-05 5.102856e+01	-4.865477e-07 5.000542e-07 9.047148e-01
0.015         	-7.049951e-06 3.925294e-06 -2.440388e+00	-6.889664e-06 1.756275e-06 -3.019274e+00	-1.602873e-07 2.169018e-06 5.788863e-01
0.0225        	2.808830e-05 2.451655e-05 -5.644917e+00	2.783157e-05 2.204410e-05 -6.057422e+00	2.567288e-07 2.472450e-06 4.125047e-01
0.03          	-2.135197e-05 -3.069650e-05 5.326780e-02	-2.147901e-05 -3.483427e-05 -2.314471e-01	1.270445e-07 4.137771e-06 2.847149e-01
0.0375        	-7.322294e-06 -3.394031e-06 5.995054e-01	-7.289000e-06 -8.799863e-06 3.830089e-01	-3.329379e-08 5.405832e-06 2.164965e-01
0.045         	-2.998509e-06 7.618015e-06 6.015103e-01	-2.965867e-06 2.105788e-06 4.197198e-01	-3.264156e-08 5.512226e-06 1.817904e-01
0.0525        	-1.279841e-06 1.012972e-05 6.565871e-01	-1.287713e-06 4.861569e-06 4.967504e-01	7.872405e-09 5.268150e-06 1.598367e-01
0.06          	-1.805916e-06 8.112316e-06 6.872876e-01	-1.848684e-06 3.130070e-06 5.425434e-01	4.276836e-08 4.982246e-06 1.447442e-01
0.0675        	-1.160689e-06 8.001950e-06 7.017993e-01	-1.228963e-06 3.249159e-06 5.679657e-01	6.827389e-08 4.752791e-06 1.338336e-01
0.075         	-8.523524e-07 7.939339e-06 7.098736e-01	-9.399511e-07 3.365352e-06 5.842761e-01	8.759866e-08 4.573987e-06 1.255975e-01
0.0825        	-6.310710e-07 7.386485e-06 7.134869e-01	-7.320461e-07 2.989514e-06 5.943946e-01	1.009751e-07 4.396971e-06 1.190922e-01
0.09          	-4.292178e-07 6.992735e-06 7.143197e-01	-5.381956e-07 2.746319e-06 6.005654e-01	1.089778e-07 4.246416e-06 1.137543e-01
0.0975        	-3.296242e-07 6.681746e-06 7.136010e-01	-4.421973e-07 2.568359e-06 6.043535e-01	1.125730e-07 4.113387e-06 1.092475e-01
0.105         	-2.953287e-07 6.306439e-06 7.131069e-01	-4.089967e-07 2.341927e-06 6.077546e-01	1.136680e-07 3.964512e-06 1.053524e-01
0.1125        	-1.977132e-07 6.164789e-06 7.119527e-01	-3.105807e-07 2.342847e-06 6.100292e-01	1.128676e-07 3.821942e-06 1.019235e-01
0.12          	-2.099371e-07 5.689596e-06 7.102023e-01	-3.207726e-07 2.015550e-06 6.113329e-01	1.108355e-07 3.674047e-06 9.886947e-02
0.1275        	-1.593294e-07 5.885599e-06 7.081500e-01	-2.660819e-07 2.345999e-06 6.120378e-01	1.067524e-07 3.539600e-06 9.611224e-02
0.135         	-1.594187e-07 5.589909e-06 7.064595e-01	-2.616075e-07 2.179505e-06 6.128617e-01	1.021888e-07 3.410404e-06 9.359781e-02
0.1425        	-1.382108e-07 5.629972e-06 7.041071e-01	-2.350030e-07 2.335091e-06 6.128243e-01	9.679218e-08 3.294880e-06 9.128280e-02
