# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0075        	(1.546169e-06 -1.157629e-06 -1.596991e-09)	(1.521604e-06 -1.187535e-06 1.151965e-19)	(2.456517e-08 2.990626e-08 -1.596991e-09)
0.015         	(6.932165e-06 5.953383e-07 -3.325721e-09)	(6.637599e-06 5.442446e-07 2.091209e-15)	(2.945659e-07 5.109374e-08 -3.325723e-09)
0.0225        	(-1.917496e-05 1.132895e-05 -6.243938e-09)	(-1.913857e-05 1.131073e-05 -9.272910e-16)	(-3.638674e-08 1.821595e-08 -6.243937e-09)
0.03          	(-5.525101e-06 -2.496729e-06 -3.833362e-09)	(-5.652933e-06 -2.531228e-06 -9.306520e-17)	(1.278322e-07 3.449876e-08 -3.833362e-09)
0.0375        	(-1.634101e-07 -2.079174e-06 -1.170196e-09)	(-8.323306e-07 -2.121500e-06 -7.008012e-17)	(6.689206e-07 4.232585e-08 -1.170196e-09)
0.045         	(2.199414e-06 -5.028203e-07 1.473845e-10)	(1.294861e-06 -5.341087e-07 -5.167579e-17)	(9.045530e-07 3.128840e-08 1.473845e-10)
0.0525        	(3.785785e-06 4.427691e-09 1.281001e-09)	(2.929290e-06 -2.036631e-08 -3.426079e-17)	(8.564956e-07 2.479400e-08 1.281001e-09)
0.06          	(3.207883e-06 -2.356289e-07 1.817159e-09)	(2.502228e-06 -2.580589e-07 -4.424900e-17)	(7.056553e-07 2.242993e-08 1.817159e-09)
0.0675        	(3.500945e-06 -1.745994e-07 1.797744e-09)	(2.939003e-06 -1.958323e-07 -9.482703e-17)	(5.619419e-07 2.123291e-08 1.797744e-09)
0.075         	(3.488459e-06 -6.562272e-08 1.511066e-09)	(3.037645e-06 -8.584663e-08 -1.310258e-16)	(4.508146e-07 2.022391e-08 1.511066e-09)
0.0825        	(2.642067e-06 -5.946130e-08 1.112795e-09)	(2.277351e-06 -7.879314e-08 -1.491185e-16)	(3.647168e-07 1.933184e-08 1.112795e-09)
0.09          	(2.553953e-06 -2.928363e-08 6.940654e-10)	(2.250504e-06 -4.776307e-08 -1.654628e-16)	(3.034492e-07 1.847944e-08 6.940656e-10)
0.0975        	(2.696551e-06 -6.128818e-08 3.433034e-10)	(2.444347e-06 -7.903293e-08 -1.373007e-16)	(2.522033e-07 1.774475e-08 3.433035e-10)
0.105         	(2.154153e-06 -3.096945e-09 1.008720e-10)	(1.952486e-06 -2.044657e-08 -1.286541e-16)	(2.016671e-07 1.734963e-08 1.008721e-10)
0.1125        	(2.305617e-06 -7.775630e-08 -6.321617e-11)	(2.128875e-06 -9.450599e-08 -1.191674e-16)	(1.767420e-07 1.674969e-08 -6.321605e-11)
0.12          	(1.941078e-06 -3.026839e-08 -1.544879e-10)	(1.775666e-06 -4.647659e-08 -1.033651e-16)	(1.654122e-07 1.620820e-08 -1.544878e-10)
0.1275        	(1.748482e-06 -8.947719e-08 -2.065478e-10)	(1.597016e-06 -1.051022e-07 -9.588413e-17)	(1.514657e-07 1.562500e-08 -2.065477e-10)
0.135         	(1.796979e-06 -5.818298e-08 -2.333606e-10)	(1.660412e-06 -7.320915e-08 -8.253489e-17)	(1.365675e-07 1.502618e-08 -2.333605e-10)
0.1425        	(1.287272e-06 -1.110056e-07 -2.507612e-10)	(1.165809e-06 -1.254047e-07 -8.672262e-17)	(1.214636e-07 1.439908e-08 -2.507611e-10)
0.15          	(1.590875e-06 -6.848887e-08 -2.562008e-10)	(1.488134e-06 -8.240467e-08 -7.371220e-17)	(1.027408e-07 1.391580e-08 -2.562007e-10)
0.1575        	(1.369434e-06 -4.823753e-08 -2.535738e-10)	(1.281551e-06 -6.171764e-08 -7.583994e-17)	(8.788313e-08 1.348012e-08 -2.535737e-10)
0.165         	(1.206166e-06 -9.144724e-08 -2.678629e-10)	(1.128246e-06 -1.044144e-07 -6.948381e-17)	(7.792027e-08 1.296719e-08 -2.678628e-10)
0.1725        	(1.130923e-06 -6.467303e-08 -2.902446e-10)	(1.061715e-06 -7.711519e-08 -6.624475e-17)	(6.920854e-08 1.244215e-08 -2.902446e-10)
0.18          	(1.014165e-06 -7.854130e-08 -3.104959e-10)	(9.537779e-07 -9.047052e-08 -6.636673e-17)	(6.038719e-08 1.192922e-08 -3.104959e-10)
0.1875        	(9.525628e-07 -5.462311e-08 -3.283688e-10)	(9.005424e-07 -6.609469e-08 -6.345293e-17)	(5.202047e-08 1.147158e-08 -3.283688e-10)
