# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.0075         1.690521e-06 -4.317443e-05 5.461239e+01 3.012814e-06 -4.396747e-05 5.303644e+01 -1.322293e-06 7.930383e-07 1.575952e+00
0.015          1.567646e-05 6.673317e-05 -5.914990e+00 1.487823e-05 7.584432e-05 -6.634376e+00 7.982293e-07 -9.111153e-06 7.193861e-01
0.0225         -2.825015e-05 -1.448844e-04 -3.562807e+00 -2.877014e-05 -1.418767e-04 -4.064722e+00 5.199881e-07 -3.007669e-06 5.019148e-01
0.03           -2.249873e-05 -9.488053e-06 8.453824e-01 -2.187122e-05 -1.604662e-05 4.734338e-01 -6.275112e-07 6.558569e-06 3.719486e-01
0.0375         -7.768232e-06 7.723330e-06 1.138205e+00 -7.281128e-06 -2.289090e-07 8.119497e-01 -4.871040e-07 7.952239e-06 3.262552e-01
0.045          -2.869656e-06 1.122998e-05 1.164779e+00 -2.745116e-06 4.304718e-06 8.615329e-01 -1.245398e-07 6.925257e-06 3.032466e-01
0.0525         -1.075690e-06 1.096603e-05 1.173376e+00 -1.136022e-06 5.131522e-06 8.893055e-01 6.033134e-08 5.834512e-06 2.840701e-01
0.06           -8.963281e-07 8.546760e-06 1.159391e+00 -1.010548e-06 3.645808e-06 8.914110e-01 1.142202e-07 4.900952e-06 2.679805e-01
0.0675         -5.464292e-08 8.261588e-06 1.136256e+00 -1.790367e-07 4.086524e-06 8.816807e-01 1.243938e-07 4.175065e-06 2.545757e-01
0.075          4.498061e-07 7.608812e-06 1.110448e+00 3.255514e-07 3.994044e-06 8.671838e-01 1.242547e-07 3.614768e-06 2.432641e-01
0.0825         5.660510e-07 7.242293e-06 1.085815e+00 4.521933e-07 4.081950e-06 8.522495e-01 1.138577e-07 3.160343e-06 2.335655e-01
0.09           5.525048e-07 6.665859e-06 1.062561e+00 4.571031e-07 3.899022e-06 8.374218e-01 9.540178e-08 2.766837e-06 2.251395e-01
0.0975         5.714508e-07 6.058642e-06 1.041229e+00 4.957092e-07 3.640324e-06 8.234889e-01 7.574154e-08 2.418318e-06 2.177402e-01
0.105          5.517317e-07 5.531302e-06 1.021776e+00 4.951635e-07 3.418909e-06 8.105968e-01 5.656821e-08 2.112393e-06 2.111790e-01
0.1125         4.652178e-07 4.908761e-06 1.004216e+00 4.278450e-07 3.076480e-06 7.989044e-01 3.737276e-08 1.832281e-06 2.053116e-01
0.12           4.267769e-07 4.600760e-06 9.882527e-01 4.053935e-07 3.008439e-06 7.882282e-01 2.138340e-08 1.592321e-06 2.000245e-01
0.1275         7.460927e-08 4.511310e-06 9.739334e-01 6.791881e-08 3.121124e-06 7.787023e-01 6.690455e-09 1.390185e-06 1.952311e-01
0.135          8.596081e-08 3.994792e-06 9.608301e-01 9.065404e-08 2.812998e-06 7.699779e-01 -4.693234e-09 1.181794e-06 1.908522e-01
0.1425         6.284106e-08 3.627562e-06 9.490275e-01 7.498440e-08 2.646659e-06 7.621939e-01 -1.214334e-08 9.809023e-07 1.868336e-01
0.15           4.186626e-08 3.045348e-06 9.382197e-01 6.070933e-08 2.259941e-06 7.550884e-01 -1.884307e-08 7.854068e-07 1.831314e-01
0.1575         5.081626e-08 3.696723e-06 9.282369e-01 7.333503e-08 3.019572e-06 7.485375e-01 -2.251877e-08 6.771508e-07 1.796994e-01
0.165          4.419534e-08 2.842933e-06 9.192426e-01 6.968620e-08 2.292365e-06 7.427345e-01 -2.549086e-08 5.505685e-07 1.765081e-01
0.1725         2.630343e-08 2.665847e-06 9.108620e-01 5.496413e-08 2.255869e-06 7.373259e-01 -2.866070e-08 4.099781e-07 1.735361e-01
0.18           2.891672e-08 2.449450e-06 9.031227e-01 6.036928e-08 2.162422e-06 7.323643e-01 -3.145256e-08 2.870282e-07 1.707583e-01
0.1875         2.816194e-08 2.234434e-06 8.960891e-01 6.177141e-08 2.060736e-06 7.279408e-01 -3.360947e-08 1.736975e-07 1.681483e-01
0.195          2.648813e-08 2.130468e-06 8.894468e-01 6.182933e-08 2.049595e-06 7.237570e-01 -3.534120e-08 8.087359e-08 1.656898e-01
0.2025         2.256615e-08 1.940800e-06 8.832012e-01 5.930950e-08 1.944337e-06 7.198290e-01 -3.674335e-08 -3.537084e-09 1.633722e-01
0.21           2.326226e-08 1.677161e-06 8.774402e-01 6.148704e-08 1.773956e-06 7.162559e-01 -3.822478e-08 -9.679469e-08 1.611843e-01
0.2175         1.542216e-08 1.864653e-06 8.718995e-01 5.438120e-08 2.015560e-06 7.127883e-01 -3.895904e-08 -1.509066e-07 1.591111e-01
0.225          1.351605e-08 1.605760e-06 8.667026e-01 5.301844e-08 1.812300e-06 7.095561e-01 -3.950240e-08 -2.065403e-07 1.571464e-01
0.2325         1.895646e-08 1.391623e-06 8.620136e-01 5.884530e-08 1.673128e-06 7.067324e-01 -3.988885e-08 -2.815054e-07 1.552812e-01
0.24           1.663176e-08 1.310834e-06 8.576346e-01 5.658523e-08 1.658674e-06 7.041288e-01 -3.995347e-08 -3.478402e-07 1.535058e-01
0.2475         1.843767e-08 1.181744e-06 8.535101e-01 5.849403e-08 1.586982e-06 7.016968e-01 -4.005636e-08 -4.052378e-07 1.518133e-01
0.255          1.656009e-08 1.187098e-06 8.495164e-01 5.608057e-08 1.635640e-06 6.993164e-01 -3.952048e-08 -4.485416e-07 1.502000e-01
0.2625         2.779455e-08 1.098571e-06 8.455917e-01 6.711517e-08 1.586984e-06 6.969369e-01 -3.932062e-08 -4.884135e-07 1.486548e-01
0.27           2.566120e-08 9.701861e-07 8.419486e-01 6.465536e-08 1.501141e-06 6.947731e-01 -3.899415e-08 -5.309545e-07 1.471755e-01
