# Force       
# CofR        : 0.000000e+00 0.000000e+00 0.000000e+00
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.003125      	-9.516151e-05 -3.277185e-04 9.926021e+01	-1.035502e-04 -3.378420e-04 9.876612e+01	8.388697e-06 1.012353e-05 4.940918e-01
0.00625       	5.009395e-05 3.511326e-06 -5.434637e+00	4.013308e-05 -1.643435e-05 -5.710438e+00	9.960873e-06 1.994568e-05 2.758015e-01
0.009375      	-7.757469e-06 -7.950413e-05 -1.827929e+01	-1.546523e-05 -1.040843e-04 -1.848034e+01	7.707757e-06 2.458014e-05 2.010497e-01
0.0125        	-8.684334e-07 -5.198403e-06 -6.860659e-01	-1.059974e-05 -3.194467e-05 -8.173024e-01	9.731304e-06 2.674627e-05 1.312364e-01
0.015625      	-2.545202e-05 -5.161197e-05 2.366106e+00	-3.922631e-05 -7.949585e-05 2.266114e+00	1.377429e-05 2.788387e-05 9.999173e-02
0.01875       	2.310401e-06 -1.282888e-05 1.905160e-01	-1.446058e-05 -4.167778e-05 1.055445e-01	1.677098e-05 2.884890e-05 8.497152e-02
0.021875      	-1.794483e-06 -2.448635e-05 1.147420e-01	-1.977421e-05 -5.370207e-05 4.212007e-02	1.797973e-05 2.921572e-05 7.262198e-02
0.025         	-8.779118e-06 -2.382734e-05 4.245106e-01	-2.716948e-05 -5.314539e-05 3.610507e-01	1.839036e-05 2.931805e-05 6.345990e-02
0.028125      	-1.112807e-05 -2.894503e-05 4.683633e-01	-2.960575e-05 -5.845532e-05 4.117375e-01	1.847768e-05 2.951029e-05 5.662585e-02
0.03125       	1.720121e-05 1.808958e-05 4.842615e-01	-5.279008e-07 -1.057596e-05 4.330464e-01	1.772912e-05 2.866554e-05 5.121516e-02
0.034375      	-1.259797e-05 -2.360559e-05 4.907969e-01	-2.981711e-05 -5.173486e-05 4.440898e-01	1.721914e-05 2.812927e-05 4.670710e-02
0.0375        	-5.803203e-06 -1.569159e-05 4.915835e-01	-2.260896e-05 -4.337022e-05 4.487564e-01	1.680576e-05 2.767863e-05 4.282706e-02
0.040625      	-1.237937e-06 -6.944768e-06 4.901932e-01	-1.749719e-05 -3.400750e-05 4.507847e-01	1.625926e-05 2.706273e-05 3.940851e-02
0.04375       	9.002212e-06 3.861949e-07 4.859906e-01	-6.114165e-06 -2.568724e-05 4.496456e-01	1.511638e-05 2.607343e-05 3.634500e-02
0.046875      	-4.572275e-06 -1.142128e-05 4.841511e-01	-1.889576e-05 -3.686185e-05 4.505946e-01	1.432348e-05 2.544057e-05 3.355652e-02
0.05          	-7.529755e-07 -7.575722e-06 4.800032e-01	-1.442274e-05 -3.255745e-05 4.490054e-01	1.366977e-05 2.498173e-05 3.099776e-02
0.053125      	-2.066619e-06 -8.847954e-06 4.741259e-01	-1.513533e-05 -3.326840e-05 4.454864e-01	1.306871e-05 2.442044e-05 2.863945e-02
0.05625       	-3.520756e-06 -9.319086e-06 4.685696e-01	-1.621199e-05 -3.330216e-05 4.421164e-01	1.269123e-05 2.398307e-05 2.645325e-02
0.059375      	-1.608349e-06 -8.577639e-06 4.627129e-01	-1.384589e-05 -3.215051e-05 4.382954e-01	1.223754e-05 2.357287e-05 2.441747e-02
0.0625        	-2.886328e-06 -8.743674e-06 4.567794e-01	-1.475157e-05 -3.196401e-05 4.342603e-01	1.186524e-05 2.322034e-05 2.251913e-02
0.065625      	-3.251698e-06 -9.765685e-06 4.505898e-01	-1.486580e-05 -3.268156e-05 4.298413e-01	1.161410e-05 2.291587e-05 2.074854e-02
0.06875       	-2.360497e-06 -9.091668e-06 4.474837e-01	-1.377173e-05 -3.172750e-05 4.283918e-01	1.141124e-05 2.263583e-05 1.909188e-02
0.071875      	1.519910e-07 -7.257494e-06 4.418478e-01	-1.095273e-05 -2.960868e-05 4.243039e-01	1.110472e-05 2.235118e-05 1.754386e-02
0.075         	-3.188370e-06 -1.027502e-05 4.370874e-01	-1.405274e-05 -3.236715e-05 4.209869e-01	1.086437e-05 2.209213e-05 1.610053e-02
