# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.003125      	(-5.640462e-05 1.024289e-04 -4.356793e-08)	(-5.138948e-05 1.078068e-04 -3.848662e-10)	(-5.015139e-06 -5.377829e-06 -4.318306e-08)
0.00625       	(-3.797817e-05 -1.168216e-05 -5.200235e-08)	(-2.866642e-05 -2.413577e-06 3.123422e-09)	(-9.311751e-06 -9.268584e-06 -5.512577e-08)
0.009375      	(-7.350216e-06 -6.561120e-05 -4.214460e-08)	(8.500578e-07 -5.419367e-05 2.085770e-09)	(-8.200274e-06 -1.141754e-05 -4.423037e-08)
0.0125        	(-2.636413e-05 -1.104369e-05 -2.934622e-08)	(-2.090149e-05 2.224797e-06 1.336505e-09)	(-5.462641e-06 -1.326849e-05 -3.068272e-08)
0.015625      	(-2.984144e-05 -1.471843e-05 -1.877008e-08)	(-2.645943e-05 -6.240153e-07 1.010128e-09)	(-3.382004e-06 -1.409441e-05 -1.978021e-08)
0.01875       	(-2.353889e-05 -2.059207e-05 -1.150132e-08)	(-2.180772e-05 -6.424131e-06 8.717040e-10)	(-1.731169e-06 -1.416794e-05 -1.237302e-08)
0.021875      	(-1.568856e-05 -2.356588e-05 -7.099728e-09)	(-1.523256e-05 -9.446420e-06 8.054114e-10)	(-4.560021e-07 -1.411946e-05 -7.905139e-09)
0.025         	(-1.841526e-05 -1.787447e-05 -4.626325e-09)	(-1.901789e-05 -3.943757e-06 7.684306e-10)	(6.026349e-07 -1.393071e-05 -5.394756e-09)
0.028125      	(-2.128023e-05 -1.455704e-05 -3.581230e-09)	(-2.280582e-05 -8.356910e-07 6.997345e-10)	(1.525587e-06 -1.372135e-05 -4.280965e-09)
0.03125       	(-9.177762e-07 -2.677588e-05 -2.450424e-09)	(-3.369868e-06 -1.313718e-05 6.741654e-10)	(2.452092e-06 -1.363870e-05 -3.124590e-09)
0.034375      	(-1.718621e-05 -1.437588e-05 -1.243139e-09)	(-2.014552e-05 -1.025239e-06 6.615109e-10)	(2.959307e-06 -1.335064e-05 -1.904650e-09)
0.0375        	(-1.124016e-05 -1.694265e-05 -4.290375e-10)	(-1.454317e-05 -3.936722e-06 6.341967e-10)	(3.303012e-06 -1.300593e-05 -1.063234e-09)
0.040625      	(-9.371972e-06 -1.820377e-05 -2.776696e-10)	(-1.298657e-05 -5.500720e-06 5.992225e-10)	(3.614594e-06 -1.270305e-05 -8.768921e-10)
0.04375       	(-5.699133e-06 -1.978859e-05 -2.557149e-10)	(-9.577195e-06 -7.323187e-06 5.956469e-10)	(3.878062e-06 -1.246540e-05 -8.513618e-10)
0.046875      	(-1.063235e-05 -1.406720e-05 -1.273477e-10)	(-1.463481e-05 -1.897790e-06 5.892217e-10)	(4.002467e-06 -1.216941e-05 -7.165694e-10)
0.05          	(-8.837033e-06 -1.468427e-05 4.996347e-10)	(-1.293276e-05 -2.794780e-06 5.809486e-10)	(4.095729e-06 -1.188950e-05 -8.131391e-11)
0.053125      	(-8.756559e-06 -1.438504e-05 9.809017e-10)	(-1.293607e-05 -2.737070e-06 5.653527e-10)	(4.179510e-06 -1.164797e-05 4.155490e-10)
0.05625       	(-9.018684e-06 -1.332190e-05 1.113260e-09)	(-1.324028e-05 -1.915177e-06 5.644972e-10)	(4.221600e-06 -1.140673e-05 5.487627e-10)
0.059375      	(-8.880913e-06 -1.278494e-05 1.155776e-09)	(-1.313966e-05 -1.598644e-06 5.523787e-10)	(4.258746e-06 -1.118629e-05 6.033974e-10)
0.0625        	(-8.273712e-06 -1.243177e-05 1.633495e-09)	(-1.256922e-05 -1.432780e-06 5.453709e-10)	(4.295503e-06 -1.099899e-05 1.088124e-09)
0.065625      	(-7.716287e-06 -1.156288e-05 2.327236e-09)	(-1.203601e-05 -7.431553e-07 5.371991e-10)	(4.319726e-06 -1.081973e-05 1.790037e-09)
0.06875       	(-8.397069e-06 -1.169351e-05 2.384435e-09)	(-1.273782e-05 -1.046057e-06 5.321289e-10)	(4.340749e-06 -1.064746e-05 1.852306e-09)
0.071875      	(-8.049784e-06 -1.112674e-05 2.120493e-09)	(-1.240973e-05 -6.391543e-07 5.215893e-10)	(4.359946e-06 -1.048758e-05 1.598904e-09)
0.075         	(-7.898088e-06 -1.096774e-05 2.678623e-09)	(-1.227307e-05 -6.356307e-07 5.074729e-10)	(4.374979e-06 -1.033211e-05 2.171151e-09)
0.078125      	(-7.836958e-06 -1.056476e-05 3.053684e-09)	(-1.221690e-05 -3.823476e-07 4.933115e-10)	(4.379945e-06 -1.018241e-05 2.560373e-09)
0.08125       	(-8.968252e-06 -1.000943e-05 3.225054e-09)	(-1.334936e-05 3.310869e-08 4.891929e-10)	(4.381111e-06 -1.004254e-05 2.735861e-09)
0.084375      	(-6.632688e-06 -1.044701e-05 3.466670e-09)	(-1.100666e-05 -5.444674e-07 4.870774e-10)	(4.373972e-06 -9.902547e-06 2.979593e-09)
