# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.00625       	(-4.627626e-05 6.152460e-05 -3.812728e-08)	(-3.869960e-05 7.159621e-05 3.422936e-09)	(-7.576654e-06 -1.007161e-05 -4.155021e-08)
0.0125        	(-5.113400e-05 -3.962704e-05 -3.690026e-08)	(-4.202766e-05 -2.192799e-05 2.247826e-09)	(-9.106347e-06 -1.769905e-05 -3.914809e-08)
0.01875       	(-1.325111e-05 -3.405707e-05 -1.767205e-08)	(-1.069537e-05 -1.337706e-05 1.142987e-09)	(-2.555735e-06 -2.068002e-05 -1.881504e-08)
0.025         	(-7.893138e-06 -4.319851e-05 -7.925699e-09)	(-1.063581e-05 -2.298303e-05 6.747284e-10)	(2.742669e-06 -2.021547e-05 -8.600427e-09)
0.03125       	(-2.048962e-05 -9.862920e-06 -2.594532e-09)	(-2.517274e-05 8.512095e-06 6.006548e-10)	(4.683121e-06 -1.837501e-05 -3.195187e-09)
0.0375        	(-4.759661e-06 -2.416035e-05 8.875014e-10)	(-1.048250e-05 -7.205012e-06 6.236322e-10)	(5.722844e-06 -1.695534e-05 2.638692e-10)
0.04375       	(-6.945697e-06 -1.784135e-05 1.450491e-09)	(-1.303255e-05 -2.215630e-06 5.578975e-10)	(6.086853e-06 -1.562572e-05 8.925934e-10)
0.05          	(-7.432450e-06 -1.479289e-05 1.792035e-09)	(-1.345455e-05 -4.792028e-07 5.246436e-10)	(6.022096e-06 -1.431369e-05 1.267391e-09)
0.05625       	(-6.386737e-06 -1.408491e-05 2.614135e-09)	(-1.225986e-05 -8.833489e-07 5.038019e-10)	(5.873127e-06 -1.320157e-05 2.110333e-09)
0.0625        	(-5.263465e-06 -1.222825e-05 3.942116e-09)	(-1.093097e-05 8.731931e-09 4.766105e-10)	(5.667509e-06 -1.223698e-05 3.465505e-09)
0.06875       	(-3.643417e-06 -1.126850e-05 3.755841e-09)	(-8.978812e-06 7.891123e-08 4.451104e-10)	(5.335394e-06 -1.134741e-05 3.310730e-09)
0.075         	(-6.310045e-06 -9.990312e-06 4.546109e-09)	(-1.142198e-05 5.955973e-07 4.159313e-10)	(5.111937e-06 -1.058591e-05 4.130178e-09)
0.08125       	(-4.576858e-06 -9.206664e-06 5.714097e-09)	(-9.597461e-06 7.254960e-07 4.029710e-10)	(5.020603e-06 -9.932160e-06 5.311126e-09)
0.0875        	(-3.845297e-06 -9.229578e-06 6.312145e-09)	(-8.751637e-06 9.358801e-08 3.694539e-10)	(4.906340e-06 -9.323166e-06 5.942691e-09)
0.09375       	(-2.620379e-06 -9.006293e-06 6.803351e-09)	(-7.385254e-06 -2.486217e-07 3.381462e-10)	(4.764875e-06 -8.757672e-06 6.465204e-09)
0.1           	(-1.897627e-06 -8.879126e-06 7.423703e-09)	(-6.519446e-06 -6.401010e-07 3.143025e-10)	(4.621819e-06 -8.239025e-06 7.109400e-09)
0.10625       	(-9.846275e-08 -9.266632e-06 7.344815e-09)	(-4.573608e-06 -1.508364e-06 2.878010e-10)	(4.475145e-06 -7.758268e-06 7.057014e-09)
0.1125        	(8.238779e-07 -9.279852e-06 6.992244e-09)	(-3.491811e-06 -1.982349e-06 2.653172e-10)	(4.315689e-06 -7.297504e-06 6.726927e-09)
0.11875       	(1.413212e-06 -9.322546e-06 7.239386e-09)	(-2.746870e-06 -2.458811e-06 2.413755e-10)	(4.160082e-06 -6.863735e-06 6.998011e-09)
0.125         	(2.377197e-06 -9.332485e-06 7.543170e-09)	(-1.626751e-06 -2.885419e-06 2.170683e-10)	(4.003949e-06 -6.447066e-06 7.326102e-09)
0.13125       	(2.552849e-06 -9.139861e-06 7.357375e-09)	(-1.297832e-06 -3.067946e-06 1.954327e-10)	(3.850681e-06 -6.071915e-06 7.161942e-09)
0.1375        	(4.296725e-06 -9.637098e-06 7.483529e-09)	(6.147302e-07 -3.932936e-06 1.753616e-10)	(3.681995e-06 -5.704162e-06 7.308167e-09)
0.14375       	(4.624127e-06 -1.040652e-05 7.301720e-09)	(1.110441e-06 -5.076553e-06 1.577392e-10)	(3.513686e-06 -5.329972e-06 7.143981e-09)
0.15          	(5.046748e-06 -9.405655e-06 7.060271e-09)	(1.690672e-06 -4.406525e-06 1.282114e-10)	(3.356076e-06 -4.999130e-06 6.932060e-09)
0.15625       	(5.322045e-06 -9.897642e-06 6.802696e-09)	(2.124844e-06 -5.226010e-06 1.257396e-10)	(3.197201e-06 -4.671632e-06 6.676957e-09)
0.1625        	(5.452627e-06 -9.864693e-06 6.594388e-09)	(2.429400e-06 -5.494656e-06 1.105725e-10)	(3.023227e-06 -4.370037e-06 6.483815e-09)
0.16875       	(6.318367e-06 -9.924267e-06 6.307579e-09)	(3.463917e-06 -5.837953e-06 8.056185e-11)	(2.854450e-06 -4.086314e-06 6.227017e-09)
0.175         	(6.133122e-06 -8.599502e-06 6.302541e-09)	(3.451879e-06 -4.806833e-06 8.786814e-11)	(2.681243e-06 -3.792669e-06 6.214673e-09)
0.18125       	(5.946771e-06 -9.623891e-06 5.972078e-09)	(3.430185e-06 -6.095453e-06 6.452883e-11)	(2.516587e-06 -3.528437e-06 5.907549e-09)
0.1875        	(6.426102e-06 -9.135538e-06 5.542763e-09)	(4.031670e-06 -5.831541e-06 5.173452e-11)	(2.394432e-06 -3.303997e-06 5.491028e-09)
0.19375       	(4.980664e-06 -8.591281e-06 5.132170e-09)	(2.762017e-06 -5.524739e-06 5.559252e-11)	(2.218647e-06 -3.066542e-06 5.076578e-09)
0.2           	(5.678975e-06 -8.440351e-06 4.710439e-09)	(3.603599e-06 -5.590109e-06 4.036419e-11)	(2.075376e-06 -2.850242e-06 4.670075e-09)
