# Force       
# CofR        : 0.000000e+00 0.000000e+00 0.000000e+00
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.004166      	-3.950881e-05 -2.494999e-04 9.176757e+01	-4.943601e-05 -2.646792e-04 9.128837e+01	9.927200e-06 1.517935e-05 4.792056e-01
0.008332      	2.000554e-05 -7.978240e-05 -8.223278e+00	6.546820e-06 -1.063735e-04 -8.469736e+00	1.345872e-05 2.659115e-05 2.464577e-01
0.012498      	-1.079827e-05 -3.441040e-05 -1.202555e+01	-2.888136e-05 -6.640511e-05 -1.219158e+01	1.808309e-05 3.199471e-05 1.660343e-01
0.016664      	-1.508762e-05 -2.075023e-05 -1.216056e+00	-3.998318e-05 -5.538330e-05 -1.316879e+00	2.489557e-05 3.463306e-05 1.008236e-01
0.02083       	-2.193205e-05 -7.042400e-05 6.231107e-01	-5.058736e-05 -1.076217e-04 5.514391e-01	2.865532e-05 3.719773e-05 7.167161e-02
0.024996      	4.713336e-05 4.898387e-05 -5.113219e-01	1.963586e-05 1.275386e-05 -5.686041e-01	2.749750e-05 3.623001e-05 5.728222e-02
0.029162      	-1.678713e-05 -1.940521e-05 -4.659723e-01	-4.182684e-05 -5.300797e-05 -5.119001e-01	2.503971e-05 3.360276e-05 4.592782e-02
0.033328      	-3.947676e-06 -1.167653e-05 -3.736549e-01	-2.766200e-05 -4.418802e-05 -4.108446e-01	2.371432e-05 3.251149e-05 3.718965e-02
0.037494      	3.569197e-06 -1.992569e-06 -3.528780e-01	-1.803442e-05 -3.284760e-05 -3.832554e-01	2.160361e-05 3.085503e-05 3.037740e-02
0.04166       	-3.732621e-06 -6.611092e-06 -3.629089e-01	-2.326896e-05 -3.574744e-05 -3.876262e-01	1.953634e-05 2.913635e-05 2.471725e-02
0.045826      	2.165699e-06 -1.472325e-06 -3.733331e-01	-1.514789e-05 -2.872861e-05 -3.931732e-01	1.731359e-05 2.725629e-05 1.984017e-02
0.049992      	-1.464245e-07 -3.283289e-06 -3.913804e-01	-1.547857e-05 -2.862312e-05 -4.069819e-01	1.533214e-05 2.533983e-05 1.560154e-02
0.054158      	-1.103038e-06 -3.892974e-06 -4.097255e-01	-1.517721e-05 -2.791784e-05 -4.216090e-01	1.407418e-05 2.402487e-05 1.188353e-02
0.058324      	1.230314e-06 -1.072087e-06 -4.260653e-01	-1.154312e-05 -2.368059e-05 -4.346531e-01	1.277344e-05 2.260851e-05 8.587744e-03
0.06249       	2.315556e-06 -3.178825e-06 -4.424785e-01	-9.468625e-06 -2.479027e-05 -4.481354e-01	1.178418e-05 2.161145e-05 5.656909e-03
0.066656      	-6.109069e-07 -3.945813e-06 -4.606566e-01	-1.173417e-05 -2.492400e-05 -4.637033e-01	1.112326e-05 2.097819e-05 3.046770e-03
